City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Makurdi,NG,7.74,8.51,75.47,91,100,5.82,moderate rain
233,Kodiak,US,57.79,-152.41,53.6,66,1,4.7,clear sky
234,Sabang,ID,5.89,95.32,82.63,75,89,13.87,light rain
235,Nouakchott,MR,18.09,-15.98,80.6,83,20,6.93,few clouds
236,Burnie,AU,-41.07,145.92,48.0,76,39,17.0,scattered clouds
237,Lata,PT,40.16,-8.33,73.99,43,0,3.0,clear sky
238,Bantogon,PH,6.53,124.03,77.16,81,30,3.49,scattered clouds
239,Ewa Beach,US,21.32,-158.01,84.2,58,75,8.05,broken clouds
240,Ambon,ID,-3.7,128.18,79.23,87,68,12.88,light rain
241,Palamos,ES,41.85,3.13,72.0,46,0,1.61,clear sky
242,Victoria,HK,22.29,114.16,84.0,79,4,8.01,clear sky
243,Port Hardy,CA,50.7,-127.42,59.0,93,75,5.82,fog
244,Kathmandu,NP,27.72,85.32,71.6,94,75,4.7,broken clouds
245,Lorengau,PG,-2.02,147.27,81.72,77,98,4.5,moderate rain
246,Walvis Bay,NA,-22.96,14.51,59.0,72,0,5.82,clear sky
247,Maroantsetra,MG,-15.43,49.73,67.03,81,56,6.44,broken clouds
248,Arua,UG,3.02,30.91,63.36,89,59,4.16,broken clouds
249,Maketu,NZ,-37.77,176.45,55.0,71,0,5.99,clear sky
250,Xinzhi,CN,36.5,111.7,71.62,30,100,3.4,overcast clouds
251,Mirnyy,RU,62.54,113.96,53.6,93,40,4.47,scattered clouds
252,Yumen,CN,40.28,97.2,64.89,30,95,7.54,overcast clouds
253,Mbandaka,CD,0.05,18.26,74.77,74,0,3.42,clear sky
254,San Patricio,MX,19.22,-104.7,93.2,67,40,11.41,scattered clouds
255,Usinsk,RU,65.99,57.53,46.58,90,11,7.72,few clouds
256,Vestmanna,FO,62.16,-7.17,48.2,93,100,24.16,light rain
257,Chibombo,ZM,-14.66,28.07,59.5,42,0,6.55,clear sky
258,Bandarbeyla,SO,9.49,50.81,75.49,83,74,26.13,broken clouds
259,Pombas,CV,17.15,-25.02,84.2,79,75,14.99,broken clouds
260,Nerang,AU,-27.98,153.33,64.99,90,62,1.99,broken clouds
261,Urucara,BR,-2.54,-57.76,95.52,33,68,3.4,broken clouds
262,Fuling,CN,29.7,107.39,70.68,78,78,2.46,light rain
263,Alice Springs,AU,-23.7,133.88,53.6,34,7,9.19,clear sky
264,Korem,ET,12.51,39.52,56.28,87,92,0.6,overcast clouds
265,Kalemie,CD,-5.95,29.19,72.88,53,0,2.8,clear sky
266,Cayenne,GF,4.93,-52.33,86.0,66,0,10.29,clear sky
267,Muros,ES,42.78,-9.06,68.0,84,4,5.01,clear sky
268,Ivanivka,UA,46.72,34.55,76.46,41,91,8.21,overcast clouds
269,Isperih,BG,43.72,26.83,66.99,84,31,3.0,scattered clouds
